[11/Sep/2025:16:00:28 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?chat_id=41&from=2025-09-10&to=2025-09-10" [Client 172.19.0.1] [Length 13565] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records/282/edit"
[11/Sep/2025:16:00:44 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?chat_id=41&from=2025-09-10&to=2025-09-10&all=1" [Client 172.19.0.1] [Length 13611] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?chat_id=41&from=2025-09-10&to=2025-09-10"
[11/Sep/2025:16:01:47 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?chat_id=41&investment_account_id=&from=2025-09-10&to=2025-09-10" [Client 172.19.0.1] [Length 13563] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?chat_id=41&from=2025-09-10&to=2025-09-10&all=1"
[11/Sep/2025:16:01:53 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/investments" [Client 172.19.0.1] [Length 6251] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?chat_id=41&investment_account_id=&from=2025-09-10&to=2025-09-10"
[11/Sep/2025:16:02:05 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records" [Client 172.19.0.1] [Length 17400] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/investments"
[11/Sep/2025:16:03:22 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?chat_id=&investment_account_id=2&from=&to=" [Client 172.19.0.1] [Length 12859] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records"
[11/Sep/2025:16:03:32 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?chat_id=&investment_account_id=1&from=&to=" [Client 172.19.0.1] [Length 17143] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?chat_id=&investment_account_id=2&from=&to="
[11/Sep/2025:16:04:08 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?chat_id=&investment_account_id=1&from=2025-09-09&to=2025-09-09" [Client 172.19.0.1] [Length 12874] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?chat_id=&investment_account_id=1&from=&to="
[11/Sep/2025:16:04:21 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?chat_id=&investment_account_id=1&from=2025-09-09&to=2025-09-10" [Client 172.19.0.1] [Length 17311] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?chat_id=&investment_account_id=1&from=2025-09-09&to=2025-09-09"
[11/Sep/2025:16:04:44 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?chat_id=&investment_account_id=0&from=2025-09-09&to=2025-09-10" [Client 172.19.0.1] [Length 17078] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?chat_id=&investment_account_id=1&from=2025-09-09&to=2025-09-10"
[11/Sep/2025:16:04:57 +0000] - 200 200 - GET https contabilidade.falchi.com.br "/openai/records?from=2025-09-09&to=2025-09-10&all=1" [Client 172.19.0.1] [Length 25722] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36" "https://contabilidade.falchi.com.br/openai/records?chat_id=&investment_account_id=0&from=2025-09-09&to=2025-09-10"
