2025/09/15 11:14:44 [warn] 829#829: *322546 a client request body is buffered to a temporary file /tmp/nginx/body/0/99/0000138990, client: 172.19.0.1, server: contabilidade.falchi.com.br, request: "POST /ficha-controle/371/arquivos HTTP/1.1", host: "contabilidade.falchi.com.br", referrer: "https://contabilidade.falchi.com.br/Irmaos_Emaus_FichaControle.showEnviarArquivos/371"
2025/09/15 12:04:25 [warn] 832#832: *323147 a client request body is buffered to a temporary file /tmp/nginx/body/1/99/0000138991, client: 172.19.0.1, server: contabilidade.falchi.com.br, request: "POST /livewire/message/lancamento.editar-lancamento HTTP/1.1", host: "contabilidade.falchi.com.br", referrer: "https://contabilidade.falchi.com.br/Contas/Extrato/19521"
2025/09/15 12:04:28 [warn] 832#832: *323147 a client request body is buffered to a temporary file /tmp/nginx/body/2/99/0000138992, client: 172.19.0.1, server: contabilidade.falchi.com.br, request: "POST /livewire/message/lancamento.editar-lancamento HTTP/1.1", host: "contabilidade.falchi.com.br", referrer: "https://contabilidade.falchi.com.br/Contas/Extrato/19521"
2025/09/15 12:04:28 [warn] 832#832: *323147 a client request body is buffered to a temporary file /tmp/nginx/body/3/99/0000138993, client: 172.19.0.1, server: contabilidade.falchi.com.br, request: "POST /livewire/message/lancamento.editar-lancamento HTTP/1.1", host: "contabilidade.falchi.com.br", referrer: "https://contabilidade.falchi.com.br/Contas/Extrato/19521"
2025/09/15 12:04:33 [warn] 832#832: *323155 a client request body is buffered to a temporary file /tmp/nginx/body/4/99/0000138994, client: 172.19.0.1, server: contabilidade.falchi.com.br, request: "POST /livewire/message/lancamento.editar-lancamento HTTP/1.1", host: "contabilidade.falchi.com.br", referrer: "https://contabilidade.falchi.com.br/Contas/Extrato/19521"
2025/09/15 12:04:35 [warn] 832#832: *323157 a client request body is buffered to a temporary file /tmp/nginx/body/5/99/0000138995, client: 172.19.0.1, server: contabilidade.falchi.com.br, request: "POST /livewire/message/lancamento.editar-lancamento HTTP/1.1", host: "contabilidade.falchi.com.br", referrer: "https://contabilidade.falchi.com.br/Contas/Extrato/19521"
2025/09/15 12:05:01 [warn] 832#832: *323163 a client request body is buffered to a temporary file /tmp/nginx/body/6/99/0000138996, client: 172.19.0.1, server: contabilidade.falchi.com.br, request: "POST /livewire/message/lancamento.editar-lancamento HTTP/1.1", host: "contabilidade.falchi.com.br", referrer: "https://contabilidade.falchi.com.br/Contas/Extrato/19521"
2025/09/15 12:05:04 [warn] 832#832: *323169 a client request body is buffered to a temporary file /tmp/nginx/body/7/99/0000138997, client: 172.19.0.1, server: contabilidade.falchi.com.br, request: "POST /livewire/message/lancamento.editar-lancamento HTTP/1.1", host: "contabilidade.falchi.com.br", referrer: "https://contabilidade.falchi.com.br/Contas/Extrato/19521"
2025/09/15 12:05:04 [warn] 832#832: *323169 a client request body is buffered to a temporary file /tmp/nginx/body/8/99/0000138998, client: 172.19.0.1, server: contabilidade.falchi.com.br, request: "POST /livewire/message/lancamento.editar-lancamento HTTP/1.1", host: "contabilidade.falchi.com.br", referrer: "https://contabilidade.falchi.com.br/Contas/Extrato/19521"
2025/09/15 12:05:07 [warn] 832#832: *323169 a client request body is buffered to a temporary file /tmp/nginx/body/9/99/0000138999, client: 172.19.0.1, server: contabilidade.falchi.com.br, request: "POST /livewire/message/lancamento.editar-lancamento HTTP/1.1", host: "contabilidade.falchi.com.br", referrer: "https://contabilidade.falchi.com.br/Contas/Extrato/19521"
2025/09/15 15:47:16 [error] 175#175: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: contabilidade.falchi.com.br, request: "GET /Moedas/selecionar HTTP/1.1", upstream: "http://172.19.0.3:80/Moedas/selecionar", host: "contabilidade.falchi.com.br"
2025/09/15 15:47:17 [error] 175#175: *2 connect() failed (111: Connection refused) while connecting to upstream, client: 172.19.0.1, server: contabilidade.falchi.com.br, request: "GET /api/market/status HTTP/1.1", upstream: "http://172.19.0.3:80/api/market/status", host: "contabilidade.falchi.com.br", referrer: "https://contabilidade.falchi.com.br/LancamentosDocumentos/pesquisaavancada"
