[21/Oct/2025:13:52:19 +0000] - 302 302 - GET https falchi.com.br "/" [Client 186.237.225.6] [Length 370] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
[21/Oct/2025:13:52:19 +0000] - 200 200 - GET https falchi.com.br "/dashboard" [Client 186.237.225.6] [Length 15034] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
[21/Oct/2025:13:52:21 +0000] - 302 302 - GET https falchi.com.br "/" [Client 186.237.225.6] [Length 370] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
[21/Oct/2025:13:52:21 +0000] - 200 200 - GET https falchi.com.br "/dashboard" [Client 186.237.225.6] [Length 15034] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
[21/Oct/2025:13:52:23 +0000] - 302 302 - GET https falchi.com.br "/" [Client 186.237.225.6] [Length 370] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
[21/Oct/2025:13:52:23 +0000] - 200 200 - GET https falchi.com.br "/dashboard" [Client 186.237.225.6] [Length 15034] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
[21/Oct/2025:13:52:29 +0000] - 302 302 - GET https falchi.com.br "/" [Client 186.237.225.6] [Length 370] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
[21/Oct/2025:13:52:29 +0000] - 200 200 - GET https falchi.com.br "/dashboard" [Client 186.237.225.6] [Length 15034] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "-"
[21/Oct/2025:13:53:38 +0000] - 200 200 - GET https falchi.com.br "/openai/variations" [Client 186.237.225.6] [Length 38333] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/dashboard"
[21/Oct/2025:13:53:39 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=AAPL" [Client 186.237.225.6] [Length 55] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:39 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=AGEN" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:39 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=AMAT" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:39 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=AMZN" [Client 186.237.225.6] [Length 55] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:39 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=ANY" [Client 186.237.225.6] [Length 59] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=APPS" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=AREB" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=AVGO" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=BDRX" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=BEDU" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=BG" [Client 186.237.225.6] [Length 58] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=BNED" [Client 186.237.225.6] [Length 55] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=BNGO" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=BTDR" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=CLOV" [Client 186.237.225.6] [Length 55] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=COKE" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=COST" [Client 186.237.225.6] [Length 60] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DE" [Client 186.237.225.6] [Length 58] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DIS" [Client 186.237.225.6] [Length 54] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DNA" [Client 186.237.225.6] [Length 54] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DOMO" [Client 186.237.225.6] [Length 55] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DOV" [Client 186.237.225.6] [Length 54] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DRMA" [Client 186.237.225.6] [Length 55] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
[21/Oct/2025:13:53:40 +0000] - 200 200 - GET https falchi.com.br "/openai/assets/no-buy?code=DRS" [Client 186.237.225.6] [Length 54] [Gzip -] [Sent-to laravel10] "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36" "https://falchi.com.br/openai/variations"
